Categorical
DAY
MONTH
YEAR
VAR_7MA_FRONT_AXLE_TYPE
VAR_DPX_ENGINE_TYPE
VAR_T1X_PTO_ENGINE_MOUNTED_REAR
VAR_4DX_FRONT_BUMPER
VAR_F1X_REAR_AXLE_LOAD
VAR_FTX_GROUND_CLEARANCE_FA
VAR_CKX_VEHICLE_PROFILE
VAR_KTX_ENGINE_EMISSION_CONTROL
VAR_3ZB_TRANSMISSION_PTO_TORQUE_CAP
VAR_QCX_TOPOGRAPHY
VAR_YLX_REAR_SUSPENSION_SYSTEM
VAR_DKX_GROSS_COMBINATION_WEIGHT
VAR_2RB_BATTERY_MAINTENANCE
VAR_FAX_STEERING_WHEEL_POS
VAR_2CX_CAB_VERSION
VAR_2DX_REAR_CAB_SUSPENSION
VAR_GSX_CHASSIS_HEIGHT
VAR_FFX_PUSHER_AXLE_FEATURES
VAR_5CB_AIR_SUSP_FEATURE_SOFTWARE
VAR_2GB_CLUTCHABLE_AIR_COMPRESSOR
VAR_5NX_ENGINE_BLOCK_HEATER
VAR_TAX_REAR_AXLE_RATIO
VAR_A3A_IDLE_SHUTDOWN
VAR_2LX_FRONT_CAB_SUSPENSION
VAR_RUX_GEAR_SHIFTING_SYSTEM
VAR_U3X_BRAKE_FRONT
VAR_T4X_PTO_TRANSM_MOUNTED
VAR_UBX_HYDRAULIC_PUMP_ENG_MTD
VAR_4QB_BODYBUILDER_EL_INTERFCAB_CHAS
VAR_REX_CRANK_CASE_VENTILATION
VAR_78X_TRANSPORT_CYCLE
VAR_T2X_TRANSMISSIONRETARDER_COOLER
VAR_U4X_BRAKE_DRIVE_REAR
VAR_FVX_FRONT_AXLE_LOAD
VAR_VWX_COMPRESSOR_CAPACITY
VAR_DAX_AXLE_ARRANGEMENT
VAR_H1B_TURBO_APPLICATION
VAR_FDX_REAR_AXLE_ARRANGEMENT
VAR_7PX_HYDRAULIC_PUMP_GEARBOX_MOUNTED
VAR_7NA_FRONT_SUSPENSION_INSTALLATION
VAR_LKX_DRIVER_STATE_SENSING_SYSTEM
VAR_QWX_TURBO
VAR_FZX_FRONT_AXLE_ARRANGEMENT
VAR_V6X_RETARDER
VAR_K4C_VEHICLE_UPTIME_SETTINGS
VAR_0RA_REGENERATION_CONTROLS_DPF
VAR_YKX_FRONT_SUSPENSION_SYSTEM
VAR_T3X_PTO_ENGINE_REAR_MOUNTED
VAR_PJX_ALTERNATOR_CAPACITY
VAR_41X_PARKING_HEATER
VAR_D7C_WHOLE_VEHICLE_TYPE_APPROVAL
VAR_5JB_TELEMATICS_COMMUNICAT_GATEWAYS
VAR_RWX_TRANSMISSION
VAR_DHX_ROAD_CONDITION
VAR_2EX_CAB_TILT_PUMP
VAR_D9C_EMISSION_LEVEL
VAR_DDX_CHASSIS_TYPE
VAR_O8A_ENGINE_PTO_TORQUE_CAPACITY
VAR_33A_CAB_HEIGHT
VAR_J2A_ACTIVE_STEERING
VAR_N9C_ADR_CLASSIFICATION
VFE_0001_HORSE_POWER
VFE_0002_GROSS_COMBINATION_WEIGHT_BIN
VFE_0003_ENGINE_GENERATION
VFE_0004_REAR_AXLE_LOAD_BIN
VFE_0005_REAR_AXLE_RATIO_BIN
VFE_0009_LTVF_TYPE
VFE_0005_VEHICLE_OPERATION_DIGIT1
VFE_0006_VEHICLE_OPERATION_DIGIT2
VFE_0007_CAB_HEIGHT
VFE_0008_HAS_PTO
